# model w_normal_1 w_normal_2
3.043634071144917571e-03 3.043634071120927213e-03 4.634089808353057898e-14
3.281656015286812597e-03 3.281656014974051929e-03 6.484476132476627150e-14
3.527932370000167340e-03 3.527932369994925439e-03 9.052526731729715461e-14
3.801476681096331491e-03 3.801476681004494363e-03 1.260167241164545108e-13
4.095021839748439960e-03 4.095021839313300188e-03 1.751681824691268071e-13
4.398773858099982483e-03 4.398773857593557719e-03 2.431650475770405968e-13
4.725053776667350984e-03 4.725053776480926324e-03 3.367862940952311320e-13
5.063735126734014540e-03 5.063735126475281401e-03 4.654362520400800684e-13
5.422186415265125084e-03 5.422186414906729479e-03 6.419952872051164697e-13
5.809859235660438763e-03 5.809859233448591738e-03 8.832717646007036622e-13
6.224054935421263583e-03 6.224054933424959420e-03 1.213732438240534365e-12
6.655716856372454610e-03 6.655716855509102685e-03 1.664632997869290039e-12
7.111356636821083814e-03 7.111356635495192161e-03 2.278667554529778988e-12
7.584352248447908881e-03 7.584352235761712170e-03 3.113223977271490276e-12
8.081684974087914933e-03 8.081684974017731490e-03 4.243510934063464509e-12
8.598718877504197763e-03 8.598718877312014688e-03 5.772967448782511640e-12
9.142680780675880095e-03 9.142680747618432691e-03 7.838657998780675698e-12
9.739519341631228816e-03 9.739519331749324493e-03 1.062314597098135355e-11
1.035243863853411821e-02 1.035243857260376849e-02 1.436922702104450476e-11
1.098927317707038692e-02 1.098927317229888255e-02 1.944070442127705220e-11
1.165329673025571229e-02 1.165329649557023811e-02 2.621359687075227762e-11
1.237385006783592312e-02 1.237384998030280348e-02 3.522048508735619649e-11
1.312901530920522128e-02 1.312901525862158504e-02 4.729438716447792896e-11
1.389437124816796272e-02 1.389437080142118253e-02 6.346095618831855141e-11
1.470940752655764718e-02 1.470940751911517345e-02 8.488512927966727351e-11
1.553387991961793779e-02 1.553387902609942167e-02 1.133241454844485341e-10
1.639566341811838496e-02 1.639566324673705569e-02 1.510007579051653262e-10
1.727396903697228994e-02 1.727396872399597841e-02 2.008175373053400788e-10
1.821861913867357796e-02 1.821861909823152548e-02 2.665569326697840858e-10
1.919598774666735758e-02 1.919598097516844390e-02 3.528740512316218268e-10
2.019501397703499929e-02 2.019501343472710972e-02 4.657390175194897232e-10
2.124439115750002827e-02 2.124439104406626935e-02 6.135391925191751881e-10
2.227084193761501296e-02 2.227084178711787738e-02 8.077360662662490032e-10
2.339454378849955760e-02 2.339454081789708526e-02 1.060390641508657964e-09
2.452066252620338851e-02 2.452065868735326878e-02 1.390841620235265786e-09
2.568882354801279091e-02 2.568881913954406890e-02 1.821075514429018998e-09
2.686891020926086837e-02 2.686889516977726197e-02 2.379836145999141965e-09
2.808770389697449674e-02 2.808769570169138835e-02 3.103966588322410606e-09
2.932214024033025918e-02 2.932213761763000082e-02 4.037387426189827201e-09
3.059584751110583020e-02 3.059582394706263780e-02 5.241520805345857530e-09
3.194364471113593507e-02 3.194364429882654011e-02 6.791843987064250578e-09
3.325721098494633515e-02 3.325721049341141822e-02 8.783985054093192889e-09
3.467932100583370758e-02 3.467930939339641805e-02 1.133884906933227353e-08
3.607634723399377047e-02 3.607632999189909484e-02 1.460897884772478285e-08
3.746996609387059224e-02 3.746994670684393458e-02 1.878642943474035637e-08
