# model w_normal_1 w_normal_2
1.651298582580127414e-03 1.651298582483527819e-03 4.327530403396200756e-14
1.807908158674420172e-03 1.807908158655741103e-03 6.042771354911590552e-14
1.979948285414349311e-03 1.979948285228672316e-03 8.449013654131853896e-14
2.164599294122165549e-03 2.164599293865465939e-03 1.180769107735696771e-13
2.363964091421298565e-03 2.363964091067077139e-03 1.646117529526839195e-13
2.578956017281765732e-03 2.578956016793892102e-03 2.290964943217320011e-13
2.810520083995355321e-03 2.810520083324662653e-03 3.182214918213246863e-13
3.050977003581126570e-03 3.050977001945456672e-03 4.411578699416814471e-13
3.314625449421630416e-03 3.314625449092900751e-03 6.103964720780232491e-13
3.600010617577000666e-03 3.600010617120339047e-03 8.429143715144637469e-13
3.907761801292333748e-03 3.907761800270853104e-03 1.161738446657788013e-12
4.233564159426586940e-03 4.233564158550541176e-03 1.598036614657491599e-12
4.577865754996458987e-03 4.577865738935990060e-03 2.188058008840478181e-12
4.954285085981503280e-03 4.954285064508849763e-03 2.990110664477850689e-12
5.346981344260973677e-03 5.346981343297085854e-03 4.078330178075891455e-12
5.768604791506881831e-03 5.768604777407101460e-03 5.551932722454218894e-12
6.210449251718271925e-03 6.210449232794136229e-03 7.543496571592864422e-12
6.697533004971172217e-03 6.697532925321840816e-03 1.022981760876217514e-11
7.223899732288975757e-03 7.223899731250562478e-03 1.384617367105324812e-11
7.766965193135908982e-03 7.766965164918101551e-03 1.870502742984347898e-11
8.345170920590980895e-03 8.345170918568975069e-03 2.522049550889014590e-11
8.948933769158489565e-03 8.948933752625273796e-03 3.394029175270547834e-11
9.600606614507532777e-03 9.600606610603719740e-03 4.558733645083216296e-11
1.030474037543062556e-02 1.030474037179973136e-02 6.111383763379278519e-11
1.101933024402081997e-02 1.101933017188123920e-02 8.177142847451546986e-11
1.177176522254939732e-02 1.177176502418933110e-02 1.092019274399027172e-10
1.257000375774764214e-02 1.257000366610752130e-02 1.455545258478322870e-10
1.337501108143179795e-02 1.337501106352094113e-02 1.936617719746275484e-10
1.421941409146994933e-02 1.421941189799337188e-02 2.574179383784561846e-10
1.511798645021969825e-02 1.511798614110820317e-02 3.415019981911079700e-10
1.606351984802968993e-02 1.606351885788941114e-02 4.521757060488019232e-10
