w	mu_1	sigma_1	mu_2	sigma_2	logPrior	logL
7.95641035078262781610e-01	-8.21438768857943868440e-02	1.46355604731974620059e-01	5.56943458933433532820e+00	3.79183662692909456693e-02	0.00000000000000000000e+00	-3.59529084999564802274e+05
9.67432469291769847608e-01	6.49062489420074673063e+00	3.13414599003176252978e-01	6.80909055898447945765e+00	2.43425826593895611172e-01	0.00000000000000000000e+00	-2.00715718142728757812e+05
3.96147889649091089481e-02	-3.98231259094783940355e+00	4.61040472065428974524e-01	-2.08392192276166898779e+00	1.59298265236229474873e-01	0.00000000000000000000e+00	-1.97336653307922533713e+05
3.96147889649091089481e-02	-3.98231259094783940355e+00	4.61040472065428974524e-01	-2.08392192276166898779e+00	1.59298265236229474873e-01	0.00000000000000000000e+00	-1.97336653307922533713e+05
5.25736709628077059087e-01	-2.10631804951191625719e+00	1.84255070834938222690e-01	-7.59539843662383806766e-01	3.36614349746367669258e-01	0.00000000000000000000e+00	-1.10349116583303388325e+05
3.52425442814179035178e-01	-3.90414757044670812647e+00	3.58142155537043538338e-01	5.88226602534905840258e+00	2.27025774673750652122e-01	0.00000000000000000000e+00	-1.02340425949198935996e+05
3.52425442814179035178e-01	-3.90414757044670812647e+00	3.58142155537043538338e-01	5.88226602534905840258e+00	2.27025774673750652122e-01	0.00000000000000000000e+00	-1.02340425949198935996e+05
2.60009455270364231438e-01	5.12656615087125899777e+00	3.02752967895106639418e-01	6.36807631840310595095e+00	4.48241926860413475442e-01	0.00000000000000000000e+00	-8.40901103148108377354e+04
7.07778223548237439555e-02	-2.01862959068548919461e+00	1.50766277586004637801e-01	8.21892902633526212242e-01	2.80169470942884080156e-01	0.00000000000000000000e+00	-6.54139367965068377089e+04
2.60009455270364231438e-01	5.12656615087125899777e+00	3.02752967895106639418e-01	6.36807631840310595095e+00	4.48241926860413475442e-01	0.00000000000000000000e+00	-8.40901103148108377354e+04
6.47304685738840257514e-01	2.84119989157447072614e+00	1.48480975477514598460e-01	3.28029666318329393704e+00	2.63094789860097488798e-01	0.00000000000000000000e+00	-6.33321254352855539764e+04
8.12337206787843824074e-01	-1.35908933504572915218e+00	5.19661531984301205966e-01	3.26143698867323750257e-01	2.21115448899121824766e-01	0.00000000000000000000e+00	-5.50733797824216453591e+04
8.12337206787843824074e-01	-1.35908933504572915218e+00	5.19661531984301205966e-01	3.26143698867323750257e-01	2.21115448899121824766e-01	0.00000000000000000000e+00	-5.50733797824216453591e+04
9.11458083737792579271e-01	4.02612988430461093969e+00	4.11774850041851103732e-02	5.06610094448318459825e+00	4.30381797741326455053e-01	0.00000000000000000000e+00	-5.49079313422982595512e+04
7.86468984914556190624e-01	7.65376955730557195778e-01	5.08835978664394714133e-02	3.74772895218607970946e+00	3.19631487758602561566e-01	0.00000000000000000000e+00	-4.77063248026669316459e+04
1.81014601488659138129e-01	-3.11742903567634987994e+00	3.27338979069539903755e-01	1.08894389826531501342e+00	3.06456994044512875952e-01	0.00000000000000000000e+00	-4.45794790873239835491e+04
7.94143220651044368097e-01	-1.19874535586407904297e+00	5.87742441368238277555e-01	-5.38382402806731108491e-01	3.59498909821483358940e-01	0.00000000000000000000e+00	-3.87334629242559021804e+04
9.37678955723740603645e-01	-2.40137906321392513576e+00	4.10564496146890445250e-01	-7.61188771997145172121e-03	4.71940633298942091578e-01	0.00000000000000000000e+00	-3.72664837905849999515e+04
